dataset_name,image_name,sample_id,I1,I2,I3,I4,I5,I6,Intersections,General Roadway Segments,Ramps / Merges,Work Zones,Tolling Stations,Roundabouts,At-Grade Rail Crossings,Managed Lanes,Arterial Roadway,Urban,Local Street / Road,Freeway/Expressway,Rural,Paved - bituminous / asphalt,Paved - non-bituminous / concrete,Undetermined,Unpaved,Solid Line,Dashed Line,Edge Line,Unmarked Pavement,Crosswalks,Curved Line,Double Line,Arrows,Gore Markings,Clearly Visible,Faded / Worn / Not Visible,Not Applicable,Occluded,Daylight,Rain,Wet Pavement,Nighttime,Glare,Shadow,Snow,Dusk / Dawn,Fog,Icy Road,yolopx_iou,yolopx_f1,yolopx_precision,yolopx_recall,yolopx_D2,yolopx_D4_upper,yolopx_D4_middle,yolopx_D4_lower,yolopx_D6,clrernet_iou,clrernet_f1,clrernet_precision,clrernet_recall,clrernet_D2,clrernet_D4_upper,clrernet_D4_middle,clrernet_D4_lower,clrernet_D6,yolopx_D5_clear,yolopx_D5_degraded,yolopx_D5_occluded,yolopx_D5_not_applicable,clrernet_D5_clear,clrernet_D5_degraded,clrernet_D5_occluded,clrernet_D5_not_applicable
bdd100k,bdd100k_val_b1c66a42-6f7d68ca.jpg,bdd100k_val_b1c66a42-6f7d68ca,0.365,0.796,0.611,0.734,0.005,9.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2262990399272591,0.3690764365936103,0.2309434786168499,0.9183850662036032,0.666667,,0.9901043059641615,0.913934065934066,0.0816149337963967,0.2930536848181643,0.4532738095238095,0.4174127535172666,0.4958758411113523,0.444444,,0.9030662034749312,0.734140080674734,0.5041241588886477,1,0,0,0,1,0,0,0
bdd100k,bdd100k_val_b1d0091f-75824d0d.jpg,bdd100k_val_b1d0091f-75824d0d,0.325,1.0,0.799,0.746,0.003,7.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.1904793171372291,0.3200044123324692,0.1940598033313265,0.9116907605279698,0.571429,,0.8862634065812062,1.0,0.0883092394720301,0.1775456919060052,0.3015521064301552,0.3403582718651212,0.2706892939451079,0.428571,,0.2829447800508273,0.8796540380383868,0.7293107060548921,1,0,0,0,1,0,0,0
bdd100k,bdd100k_val_b1d0a191-03dcecc2.jpg,bdd100k_val_b1d0a191-03dcecc2,0.585,0.541,0.537,0.722,0.083,11.0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0.1937135139844907,0.3245561212386635,0.1961099962511301,0.94066003807912,0.454545,,0.8400415868100264,0.7117074807111708,0.05933996192088,0.0535786494136676,0.1017079255421224,0.128661595727464,0.0840913898878781,0.272727,,0.3670982746702316,0.7130801687763713,0.915908610112122,0,1,0,0,0,1,0,0
bdd100k,bdd100k_val_b1d0a191-5490450b.jpg,bdd100k_val_b1d0a191-5490450b,0.082,0.592,0.758,0.781,0.412,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.1751862952676877,0.2981421685619355,0.1760917634051962,0.971485208905154,0.285714,,0.9139896373056996,,0.0285147910948459,0.0,0.0,,0.0,0.0,,,,1.0,1,0,0,0,1,0,0,0
bdd100k,bdd100k_val_b1d3907b-2278601b.jpg,bdd100k_val_b1d3907b-2278601b,0.202,1.0,0.825,0.794,0.002,4.0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.2102951733457202,0.3475105544119186,0.2126478500362953,0.9500190766882868,0.8,,0.8408153453245458,0.9699416778824586,0.049980923311713,0.2463359126081019,0.3952961799722445,0.3202745887087229,0.5162151850438764,0.75,,0.5729652324497135,0.7542440000416845,0.4837848149561236,1,0,0,0,1,0,0,0
bdd100k,bdd100k_val_b1d4b62c-89eeb5d3.jpg,bdd100k_val_b1d4b62c-89eeb5d3,0.025,1.0,0.738,0.791,0.094,5.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.2082904116362437,0.3447687900695675,0.2155282680992581,0.8611584327086882,0.2,,0.9980869089915276,1.0,0.1388415672913117,0.0,0.0,,0.0,0.0,,,,1.0,1,0,0,0,1,0,0,0
bdd100k,bdd100k_val_b1d4b62c-d9805029.jpg,bdd100k_val_b1d4b62c-d9805029,0.256,1.0,0.807,0.763,0.001,3.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1820262885836656,0.3079902542637596,0.1919333489060188,0.7790771175726928,1.0,,0.9858730335744788,0.9419872068230276,0.2209228824273072,0.2356728911783644,0.3814486711829077,0.324468085106383,0.4627054361567635,0.666667,,0.8238469908763705,0.976157082748948,0.5372945638432364,1,0,0,0,1,0,0,0
bdd100k,bdd100k_val_b1d7b3ac-afa57f22.jpg,bdd100k_val_b1d7b3ac-afa57f22,0.31,0.178,0.107,0.751,0.0,2.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1748080560810058,0.2975942413335859,0.17869533071717,0.8893291819983017,0.5,,0.83745963401507,1.0,0.1106708180016982,0.1776630571644422,0.3017213728215546,0.2424398625429553,0.399377299745259,1.0,,0.9559748427672956,1.0,0.600622700254741,1,0,0,0,1,0,0,0
bdd100k,bdd100k_val_b1d968b9-563405f4.jpg,bdd100k_val_b1d968b9-563405f4,0.463,0.532,0.469,0.73,0.057,9.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2474997035221567,0.3967932061600862,0.2503498740453437,0.9560238204306,0.333333,,0.9184729136416188,1.0,0.0439761795693999,0.0100671140939597,0.0199335548172757,0.0311385014596172,0.0146587265231333,0.222222,,0.0624110784406715,0.2852112676056338,0.9853412734768668,1,0,0,0,1,0,0,0
bdd100k,bdd100k_val_b1d971b4-ac67ca0d.jpg,bdd100k_val_b1d971b4-ac67ca0d,0.362,0.313,0.656,0.805,0.0,3.0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.3247081098138214,0.4902334444973797,0.3420877659574468,0.8647058823529412,1.0,,0.9565217391304348,,0.1352941176470588,0.1118998451213216,0.2012768427161927,0.1390537289494787,0.3642857142857142,0.666667,,0.5971370143149284,0.0574162679425837,0.6357142857142857,1,0,0,0,1,0,0,0
