dataset,sample_id,image_path,gt_mask_path,pred_mask_path,lane_iou,lane_f1,lane_precision,lane_recall,lane_accuracy,lane_miou,pixel_accuracy,tp_pixels,fp_pixels,fn_pixels,tn_pixels
bdd100k_lane,b1c66a42-6f7d68ca,/shared/data/bdd100k/images/val/b1c66a42-6f7d68ca.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1c66a42-6f7d68ca.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1c66a42-6f7d68ca.png,0.2930536848181643,0.4532738095233132,0.41741275351726653,0.4958758411113522,0.4958758411113522,0.6405172309564704,0.9880403645833333,4569,6377,4645,906009
bdd100k_lane,b1c81faa-3df17267,/shared/data/bdd100k/images/val/b1c81faa-3df17267.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1c81faa-3df17267.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1c81faa-3df17267.png,0.12910248734556143,0.22868161002602286,0.26732784852924596,0.19979784366576817,0.19979784366576817,0.5558477446496874,0.9826378038194444,2372,6501,9500,903227
bdd100k_lane,b1c81faa-c80764c5,/shared/data/bdd100k/images/val/b1c81faa-c80764c5.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1c81faa-c80764c5.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1c81faa-c80764c5.png,0.2659123055162659,0.42011173184310396,0.33895428995651705,0.5523677843069478,0.5523677843069478,0.6281527111354919,0.9904264322916667,3196,6233,2590,909581
bdd100k_lane,b1c9c847-3bda4659,/shared/data/bdd100k/images/val/b1c9c847-3bda4659.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1c9c847-3bda4659.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1c9c847-3bda4659.png,0.1617956939990838,0.2785269300525799,0.16383709063920585,0.9284963196635116,0.9284963196635116,0.5759246670562043,0.9900726996527778,1766,9013,136,910685
bdd100k_lane,b1ca2e5d-84cf9134,/shared/data/bdd100k/images/val/b1ca2e5d-84cf9134.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1ca2e5d-84cf9134.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1ca2e5d-84cf9134.png,0.0,0.0,0.0,0.0,0.0,0.49787326388888886,0.9957465277777777,0,0,3920,917680
bdd100k_lane,b1ca8418-84a133a0,/shared/data/bdd100k/images/val/b1ca8418-84a133a0.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1ca8418-84a133a0.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1ca8418-84a133a0.png,0.0,0.0,0.0,0.0,0.0,0.4953211805555556,0.9906423611111111,0,0,8624,912976
bdd100k_lane,b1cac6a7-04e33135,/shared/data/bdd100k/images/val/b1cac6a7-04e33135.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1cac6a7-04e33135.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1cac6a7-04e33135.png,0.0,0.0,0.0,0.0,0.0,0.49658203125,0.9931640625,0,4618,1682,915300
bdd100k_lane,b1cd1e94-26dd524f,/shared/data/bdd100k/images/val/b1cd1e94-26dd524f.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1cd1e94-26dd524f.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1cd1e94-26dd524f.png,0.27129419961679146,0.4268000274023917,0.44442859181052924,0.4105166051660516,0.4105166051660516,0.631092316660059,0.9909212239583334,3115,3894,4473,910118
bdd100k_lane,b1cd1e94-549d0bfe,/shared/data/bdd100k/images/val/b1cd1e94-549d0bfe.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1cd1e94-549d0bfe.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1cd1e94-549d0bfe.png,0.0,0.0,0.0,0.0,0.0,0.4910595703125,0.982119140625,0,0,16479,905121
bdd100k_lane,b1ceb32e-3f481b43,/shared/data/bdd100k/images/val/b1ceb32e-3f481b43.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1ceb32e-3f481b43.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1ceb32e-3f481b43.png,0.0,0.0,0.0,0.0,0.0,0.4971744791666667,0.9943489583333334,0,0,5208,916392
bdd100k_lane,b1ceb32e-51852abe,/shared/data/bdd100k/images/val/b1ceb32e-51852abe.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1ceb32e-51852abe.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1ceb32e-51852abe.png,0.09635781468881327,0.17577804143420547,0.15815404828379043,0.19782251437962198,0.19782251437962198,0.5432741511810111,0.9902007378472222,963,5126,3905,911606
bdd100k_lane,b1ceb32e-813f84b2,/shared/data/bdd100k/images/val/b1ceb32e-813f84b2.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1ceb32e-813f84b2.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1ceb32e-813f84b2.png,0.03141603141603141,0.06091825307903951,0.08165716001200839,0.04858010358992677,0.04858010358992677,0.5111569763387575,0.9909006076388889,272,3059,5327,912942
bdd100k_lane,b1ceb32e-a106591d,/shared/data/bdd100k/images/val/b1ceb32e-a106591d.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1ceb32e-a106591d.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1ceb32e-a106591d.png,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,921600
bdd100k_lane,b1cebfb7-284f5117,/shared/data/bdd100k/images/val/b1cebfb7-284f5117.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1cebfb7-284f5117.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1cebfb7-284f5117.png,0.2620808254514187,0.4153154380700874,0.4644217583422215,0.37560073937153415,0.37560073937153415,0.6263689297829909,0.9906879340277778,3048,3515,5067,909970
bdd100k_lane,b1d0091f-75824d0d,/shared/data/bdd100k/images/val/b1d0091f-75824d0d.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d0091f-75824d0d.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d0091f-75824d0d.png,0.1775456919060052,0.3015521064296616,0.34035827186512113,0.2706892939451078,0.2706892939451078,0.5822604457336376,0.98701171875,2584,5008,6962,907046
bdd100k_lane,b1d0091f-f2c2d2ae,/shared/data/bdd100k/images/val/b1d0091f-f2c2d2ae.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d0091f-f2c2d2ae.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d0091f-f2c2d2ae.png,0.12387600567912917,0.22044425728974104,0.2204210526315789,0.22046746683512314,0.22046746683512314,0.5579159639129628,0.9919650607638889,1047,3703,3702,913148
bdd100k_lane,b1d0a191-03dcecc2,/shared/data/bdd100k/images/val/b1d0a191-03dcecc2.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d0a191-03dcecc2.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d0a191-03dcecc2.png,0.053578649413667606,0.10170792554164435,0.12866159572746397,0.08409138988787813,0.08409138988787813,0.5191639317083162,0.9847623697916666,795,5384,8659,906762
bdd100k_lane,b1d0a191-06deb55d,/shared/data/bdd100k/images/val/b1d0a191-06deb55d.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d0a191-06deb55d.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d0a191-06deb55d.png,0.0,0.0,0.0,0.0,0.0,0.49628580729166666,0.9925716145833333,0,0,6846,914754
bdd100k_lane,b1d0a191-28f0e779,/shared/data/bdd100k/images/val/b1d0a191-28f0e779.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d0a191-28f0e779.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d0a191-28f0e779.png,0.003927457548804435,0.007824185938978694,0.008204633204633202,0.007477457664394105,0.007477457664394105,0.49728527926563126,0.9906434461805556,34,4110,4513,912943
bdd100k_lane,b1d0a191-2ed2269e,/shared/data/bdd100k/images/val/b1d0a191-2ed2269e.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d0a191-2ed2269e.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d0a191-2ed2269e.png,0.11926453536524761,0.21311232795576018,0.3356643356643355,0.15611448395490024,0.15611448395490024,0.5567453551641632,0.9942306857638888,720,1425,3892,915563
bdd100k_lane,b1d0a191-5490450b,/shared/data/bdd100k/images/val/b1d0a191-5490450b.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d0a191-5490450b.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d0a191-5490450b.png,0.0,0.0,0.0,0.0,0.0,0.4964420572916667,0.9928841145833334,0,0,6558,915042
bdd100k_lane,b1d0a191-65deaeef,/shared/data/bdd100k/images/val/b1d0a191-65deaeef.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d0a191-65deaeef.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d0a191-65deaeef.png,0.0,0.0,0.0,0.0,0.0,0.4998318142361111,0.9996636284722222,0,0,310,921290
bdd100k_lane,b1d0a191-de8948f6,/shared/data/bdd100k/images/val/b1d0a191-de8948f6.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d0a191-de8948f6.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d0a191-de8948f6.png,0.29318572246611946,0.45343173431689954,0.3392975480450629,0.6832740213523129,0.6832740213523129,0.6445805012233212,0.9959819878472222,1536,2991,712,916361
bdd100k_lane,b1d10d08-5b108225,/shared/data/bdd100k/images/val/b1d10d08-5b108225.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d10d08-5b108225.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d10d08-5b108225.png,0.0863970588235294,0.15905245346820607,0.1402785673678226,0.18362790697674417,0.18362790697674417,0.5375300237530352,0.9886751302083333,987,6049,4388,910176
bdd100k_lane,b1d10d08-743fd86c,/shared/data/bdd100k/images/val/b1d10d08-743fd86c.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d10d08-743fd86c.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d10d08-743fd86c.png,0.3089315997738835,0.47203627726143593,0.4271199687377881,0.5275096525096524,0.5275096525096524,0.6518064973311835,0.9946940104166667,2186,2932,1958,914524
bdd100k_lane,b1d10d08-c35503b8,/shared/data/bdd100k/images/val/b1d10d08-c35503b8.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d10d08-c35503b8.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d10d08-c35503b8.png,0.1160428813240549,0.20795416245319223,0.16424863569812323,0.2833524684270952,0.2833524684270952,0.5529147765740451,0.9898003472222222,1234,6279,3121,910966
bdd100k_lane,b1d10d08-da110fcb,/shared/data/bdd100k/images/val/b1d10d08-da110fcb.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d10d08-da110fcb.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d10d08-da110fcb.png,0.18877987752683215,0.3176027473131236,0.2801719925730479,0.36657716404551843,0.36657716404551843,0.587685052795458,0.9866319444444445,2867,7366,4954,906413
bdd100k_lane,b1d10d08-ec660956,/shared/data/bdd100k/images/val/b1d10d08-ec660956.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d10d08-ec660956.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d10d08-ec660956.png,0.0,0.0,0.0,0.0,0.0,0.4985470920138889,0.9970941840277778,0,0,2678,918922
bdd100k_lane,b1d22449-117aa773,/shared/data/bdd100k/images/val/b1d22449-117aa773.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d22449-117aa773.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d22449-117aa773.png,0.2975171833356712,0.4585945945941796,0.3246097337006427,0.7809278350515462,0.7809278350515462,0.6460353103313395,0.9945659722222222,2121,4413,595,914471
bdd100k_lane,b1d22449-15fb948f,/shared/data/bdd100k/images/val/b1d22449-15fb948f.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d22449-15fb948f.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d22449-15fb948f.png,0.3333698750274062,0.500041108278793,0.3536046511627906,0.8534942464215547,0.8534942464215547,0.6633748616230961,0.9934016927083333,3041,5559,522,912478
bdd100k_lane,b1d22ed6-f1cac061,/shared/data/bdd100k/images/val/b1d22ed6-f1cac061.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d22ed6-f1cac061.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d22ed6-f1cac061.png,0.24065174071035045,0.38794406651503255,0.5342180588082226,0.30455422044207087,0.30455422044207087,0.6168034837887464,0.9929709201388889,2053,1790,4688,913069
bdd100k_lane,b1d3907b-2278601b,/shared/data/bdd100k/images/val/b1d3907b-2278601b.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d3907b-2278601b.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d3907b-2278601b.png,0.24633591260810192,0.39529617997177185,0.32027458870872283,0.5162151850438763,0.5162151850438763,0.6186630841425176,0.9910167100694445,2706,5743,2536,910615
bdd100k_lane,b1d4b62c-60aab822,/shared/data/bdd100k/images/val/b1d4b62c-60aab822.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d4b62c-60aab822.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d4b62c-60aab822.png,0.1849892960584309,0.312221041444821,0.23716499838553434,0.456778606965174,0.456778606965174,0.5889777574994974,0.9929774305555555,1469,4725,1747,913659
bdd100k_lane,b1d4b62c-89eeb5d3,/shared/data/bdd100k/images/val/b1d4b62c-89eeb5d3.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d4b62c-89eeb5d3.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d4b62c-89eeb5d3.png,0.0,0.0,0.0,0.0,0.0,0.49681532118055555,0.9936306423611111,0,0,5870,915730
bdd100k_lane,b1d4b62c-d9805029,/shared/data/bdd100k/images/val/b1d4b62c-d9805029.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d4b62c-d9805029.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d4b62c-d9805029.png,0.23567289117836443,0.38144867118242315,0.3244680851063829,0.46270543615676346,0.46270543615676346,0.6152563922057693,0.9948480902777778,1464,3048,1700,915388
bdd100k_lane,b1d59b1f-a38aec79,/shared/data/bdd100k/images/val/b1d59b1f-a38aec79.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d59b1f-a38aec79.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d59b1f-a38aec79.png,0.175203873598369,0.2981676244167195,0.3169663439372982,0.2814738996929375,0.2814738996929375,0.5840848621706969,0.9929763454861111,1375,2963,3510,913752
bdd100k_lane,b1d7b3ac-0bdb47dc,/shared/data/bdd100k/images/val/b1d7b3ac-0bdb47dc.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d7b3ac-0bdb47dc.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d7b3ac-0bdb47dc.png,0.0,0.0,0.0,0.0,0.0,0.4989143880208333,0.9978287760416666,0,0,2001,919599
bdd100k_lane,b1d7b3ac-2a92e19f,/shared/data/bdd100k/images/val/b1d7b3ac-2a92e19f.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d7b3ac-2a92e19f.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d7b3ac-2a92e19f.png,0.0,0.0,0.0,0.0,0.0,0.49903049045138886,0.9980609809027777,0,0,1787,919813
bdd100k_lane,b1d7b3ac-36f2d3b7,/shared/data/bdd100k/images/val/b1d7b3ac-36f2d3b7.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b1d7b3ac-36f2d3b7.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b1d7b3ac-36f2d3b7.png,0.0,0.0,0.0,0.0,0.0,0.49791449652777775,0.9958289930555555,0,1778,2066,917756
