dataset,sample_id,image_path,gt_mask_path,pred_mask_path,lane_iou,lane_f1,lane_precision,lane_recall,lane_accuracy,lane_miou,pixel_accuracy,tp_pixels,fp_pixels,fn_pixels,tn_pixels
culane,driver_100_30frame_05251517_0433.MP4_00000,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00000.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00000.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05251517_0433.MP4_00000.png,0.12549788202566858,0.2230086507131606,0.7902070063694266,0.12982341399607586,0.12982341399607586,0.5483948839577406,0.971409673418768,3970,1054,26610,935966
culane,driver_100_30frame_05251517_0433.MP4_00030,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00030.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00030.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05251517_0433.MP4_00030.png,0.17046607589799093,0.29127896896466593,0.9782608695652172,0.1711142798940721,0.1711142798940721,0.5724930529091019,0.9746527490698635,5040,112,24414,938034
culane,driver_100_30frame_05251517_0433.MP4_00060,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00060.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00060.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05251517_0433.MP4_00060.png,0.15381734370498415,0.2666233863513826,0.6225513059701491,0.16963746703523655,0.16963746703523655,0.5616472199179338,0.9696455146754858,5339,3237,26134,932890
culane,driver_100_30frame_05251517_0433.MP4_00090,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00090.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00090.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05251517_0433.MP4_00090.png,0.18391805839240657,0.31069389826174243,0.7138027512240614,0.1985601712228816,0.1985601712228816,0.5778302460843867,0.9719212484497727,6123,2455,24714,934308
culane,driver_100_30frame_05251517_0433.MP4_00120,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00120.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00120.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05251517_0433.MP4_00120.png,0.13358452331950732,0.23568515725354278,0.8369371156516563,0.13715418874548943,0.13715418874548943,0.5525901962256212,0.9717197188921042,4219,822,26542,936017
culane,driver_100_30frame_05251517_0433.MP4_00150,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00150.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00150.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05251517_0433.MP4_00150.png,0.275655806182122,0.4321789699792178,0.9579607478806176,0.2790312214592565,0.2790312214592565,0.6265306823657999,0.9775981810665564,8249,362,21314,937675
culane,driver_100_30frame_05251517_0433.MP4_00180,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00180.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00180.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05251517_0433.MP4_00180.png,0.0745895044253062,0.1388241819187789,0.4857364641956141,0.08098489015433397,0.08098489015433397,0.5212062139620938,0.9679061595700703,2503,2650,28404,934043
culane,driver_100_30frame_05251517_0433.MP4_00210,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00210.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00210.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05251517_0433.MP4_00210.png,0.2715438687841708,0.4271089271085767,0.9432511869771646,0.2760537285780454,0.2760537285780454,0.6241045588427012,0.9768664737494832,8344,502,21882,936872
culane,driver_100_30frame_05251517_0433.MP4_00240,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00240.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00240.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05251517_0433.MP4_00240.png,0.2832843202780377,0.4414989192986325,0.9999999999999998,0.2832843202780377,0.2832843202780377,0.6304616337623185,0.977834849111203,8477,0,21447,937676
culane,driver_100_30frame_05251517_0433.MP4_00270,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00270.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00270.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05251517_0433.MP4_00270.png,0.25621439256500844,0.40791507258827436,0.9414103613612441,0.2603661297625978,0.2603661297625978,0.615930134117948,0.9758484911120298,8050,501,22868,936181
