sample_id,image_path,gt_mask_path,pred_mask_path,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lane_iou,lane_f1,lane_precision,lane_recall,lane_accuracy,lane_miou,pixel_accuracy
driver_100_30frame_05251517_0433.MP4_00000,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00000.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00000.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00000.png,9122,27630,21458,909390,0.15670846933516577,0.27095586051159354,0.24820417936438832,0.2982995421844343,0.2982995421844343,0.5527469698164335,0.9492682926829268
driver_100_30frame_05251517_0433.MP4_00030,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00030.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00030.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00030.png,10581,18507,18873,919639,0.2206167511102771,0.3614840627236981,0.3637582508250825,0.35923813403951926,0.35923813403951926,0.5907789827217674,0.9613683340223232
driver_100_30frame_05251517_0433.MP4_00060,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00060.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00060.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00060.png,7551,13916,23922,922211,0.16636189385093306,0.28526633925150124,0.3517491964410491,0.2399199313697455,0.2399199313697455,0.5634746611004722,0.9608949979330301
driver_100_30frame_05251517_0433.MP4_00090,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00090.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00090.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00090.png,11157,20439,19680,916324,0.21758717528668384,0.35740714045406735,0.3531143182681352,0.361805623115089,0.361805623115089,0.5878205657277652,0.9585376188507648
driver_100_30frame_05251517_0433.MP4_00120,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00120.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00120.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00120.png,13962,16115,16799,920724,0.29784964587422136,0.45898944738435826,0.464208531435981,0.4538864146159098,0.4538864146159098,0.6316677505469585,0.9659838776353865
driver_100_30frame_05251517_0433.MP4_00150,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00150.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00150.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00150.png,22713,15498,6850,922539,0.5040500654668116,0.6702570307192531,0.594409986653058,0.7682914453878158,0.7682914453878158,0.7401992800243518,0.9769036792062836
driver_100_30frame_05251517_0433.MP4_00180,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00180.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00180.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00180.png,10030,15681,20877,921012,0.21529149137116854,0.35430428485591026,0.39010540235696783,0.3245219529556411,0.3245219529556411,0.5885568017963647,0.9622178586192641
driver_100_30frame_05251517_0433.MP4_00210,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00210.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00210.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00210.png,15342,19911,14884,917463,0.30600155573727983,0.4686082560816056,0.43519700451025445,0.5075762588499967,0.5075762588499967,0.6347310442460292,0.9640398925175693
driver_100_30frame_05251517_0433.MP4_00240,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00240.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00240.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00240.png,26077,16875,3847,920801,0.5572127609564307,0.7156539875948834,0.6071195753399143,0.8714409838256918,0.8714409838256918,0.767601869701527,0.9785841256717652
driver_100_30frame_05251517_0433.MP4_00270,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00270.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00270.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00270.png,19549,20349,11369,916333,0.38131741666179025,0.5521068685038008,0.48997443480876235,0.6322854000905621,0.6322854000905621,0.6739307053015222,0.9672199255890864
driver_100_30frame_05251517_0433.MP4_00300,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00300.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00300.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00300.png,16227,11790,15049,924534,0.37679375841731294,0.5473496028193958,0.5791840668165756,0.5188323315001918,0.5188323315001918,0.6742914757549112,0.9722622984704423
driver_100_30frame_05251517_0433.MP4_00330,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00330.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00330.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00330.png,18851,11525,11432,925792,0.4508945656333716,0.6215400847354831,0.6205886225967869,0.6224944688439058,0.6224944688439058,0.713348719339939,0.9762742868954113
driver_100_30frame_05251517_0433.MP4_00360,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00360.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00360.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00360.png,21668,14772,9881,921279,0.4677791930226031,0.6373972260213591,0.5946212952799121,0.6868046530793369,0.6868046530793369,0.7208585329676219,0.9745214964861513
driver_100_30frame_05251517_0433.MP4_00390,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00390.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00390.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00390.png,10471,24764,20293,912072,0.1885715314796139,0.3173078379970477,0.2971761033063715,0.340365362111559,0.340365362111559,0.5707481861658937,0.9534342703596528
driver_100_30frame_05251517_0433.MP4_00420,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00420.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00420.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00420.png,20151,17226,10492,919731,0.4209613737491905,0.5925022052332596,0.5391283409583434,0.6576053258492968,0.6576053258492968,0.6958529865973244,0.9713538652335676
driver_100_30frame_05251517_0433.MP4_00450,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00450.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00450.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00450.png,18856,15319,11787,921638,0.4102519472607806,0.5818136937265527,0.5517483540599853,0.6153444506086219,0.6153444506086219,0.69084077129973,0.9719863579991732
driver_100_30frame_05251517_0433.MP4_00480,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00480.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00480.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00480.png,16233,14479,14410,922478,0.3597579894508222,0.5291500285220327,0.5285556134410002,0.529745782070946,0.529745782070946,0.6646961052621441,0.9701436544026457
driver_100_30frame_05251517_0433.MP4_00510,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00510.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00510.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00510.png,17883,16169,12760,920788,0.382017431427839,0.5528402504052514,0.5251673910489839,0.58359168488725,0.58359168488725,0.6757783892061282,0.9701023150062009
driver_100_30frame_05251517_0433.MP4_00540,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00540.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00540.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00540.png,16867,12681,13776,924276,0.38932231557566244,0.5604492365963335,0.5708338973873021,0.5504356623046046,0.5504356623046046,0.680747156696042,0.9726570897064902
driver_100_30frame_05251517_0433.MP4_00570,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00570.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00570.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00570.png,10388,19414,20190,917608,0.20779324691950712,0.34408744617372994,0.34856721025434534,0.3397213683040094,0.3397213683040094,0.5832094611592391,0.9590698635799917
driver_100_30frame_05251517_0433.MP4_00600,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00600.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00600.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00600.png,16547,15803,13459,921791,0.36121722805562223,0.5307267945341083,0.511499227202473,0.5514563753915883,0.5514563753915883,0.6652246133464611,0.9697581645307979
driver_100_30frame_05251517_0433.MP4_00630,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00630.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00630.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00630.png,17623,11288,12383,926306,0.42676902213396617,0.5982314102885509,0.609560374943793,0.5873158701593014,0.5873158701593014,0.700925788382118,0.9755363786688714
driver_100_30frame_05251517_0433.MP4_00660,/shared/data/culane/driver_100_30frame/05251517_0433.MP4/00660.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05251517_0433.MP4/00660.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_100_30frame_05251517_0433.MP4_00660.png,8796,7234,21210,930360,0.23619763694951665,0.3821357198709511,0.5487211478477854,0.29314137172565485,0.29314137172565485,0.6032657556172817,0.9706035551880943
